BHP,ULEZ,body,engine,fuel,link,mileage,name,owners,price,transmission,year
,ULEZ,Hatchback,1.8L,Hybrid – Petrol/Electric,https://www.autotrader.co.uk/car-details/202009224036197,3672,Lexus CT Sports Hatchback 200h F-Sport Premium Navigation Pack …,,"£19,995",Automatic,2019 (19 reg)
,ULEZ,Hatchback,1.8L,Hybrid – Petrol/Electric,https://www.autotrader.co.uk/car-details/202011065861966,4125,Lexus CT Hatchback 200h Premium Pack Navigation Rear Camera & …,,"£18,995",Automatic,2019 (19 reg)
134.0,ULEZ,Hatchback,1.8L,Hybrid – Petrol/Electric,https://www.autotrader.co.uk/car-details/202011256479636,6792,Lexus CT 200h 1.8L F Sport 200h 5dr,,"£21,200",Automatic,2019 (19 reg)
,ULEZ,Hatchback,1.8L,Hybrid – Petrol/Electric,https://www.autotrader.co.uk/car-details/202010104849315,10,Lexus CT Hatchback 200h 200h Navigation Rear Camera Dashcam & …,,"£21,495",Automatic,2020 (70 reg)
,ULEZ,Hatchback,1.8L,Hybrid – Petrol/Electric,https://www.autotrader.co.uk/car-details/202011045769280,5667,Lexus CT Hatchback 200h 1.8 F-Sport 5dr CVT [CONVENIENCE …,,"£27,490",Automatic,2020 (70 reg)
,ULEZ,Hatchback,1.8L,Hybrid – Petrol/Electric,https://www.autotrader.co.uk/car-details/202010104849313,10,Lexus CT Hatchback 200h Navigation Rear Camera Dashcam & LSS+ …,,"£21,495",Automatic,2020 (70 reg)
,ULEZ,Hatchback,1.8L,Hybrid – Petrol/Electric,https://www.autotrader.co.uk/car-details/202010104849306,10,Lexus Cthatchback 200h Navigation Rear Camera Dashcam& LSS+ …,,"£21,995",Automatic,2020 (70 reg)
,ULEZ,Hatchback,1.8L,Hybrid – Petrol/Electric,https://www.autotrader.co.uk/car-details/202010104849308,10,Lexus CT Hatchback 200h Navigation Rear Camera Dashcam & LSS+ …,,"£21,995",Automatic,2020 (70 reg)
,ULEZ,Hatchback,1.8L,Hybrid – Petrol/Electric,https://www.autotrader.co.uk/car-details/202008132444588,5979,Lexus CT Hatchback 200h 1.8 5dr CVT Premium & Tech Pack with …,,"£23,490",Automatic,2020 (20 reg)
,ULEZ,Hatchback,1.8L,Hybrid – Petrol/Electric,https://www.autotrader.co.uk/car-details/202007141209226,2445,Lexus CT 200h F Sport with Convenience Pack/Tech Pack/Le 1.8 …,,"£24,990",Automatic,2020 (20 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202010094791023,12737,mazda3 2.0 Skyactiv-G MHEV GT Sport Tech 5dr - 18IN ALLOYS - …,,"£17,298",Manual,2019 (19 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202010295564218,4830,Mazda 3 2.0 Skyactiv-X MHEV GT Sport Tech 5dr Auto,2.0,"£23,243",Automatic,2019 (69 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202010145010207,2872,Mazda 3 2.0 Skyactiv-X MHEV Sport 5dr Auto,,"£18,999",Automatic,2019 (69 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202002187441928,8000,Mazda3 2.0 SKYACTIV-X MHEV GT Sport Tech (s/s) 5dr,,"£21,795",Manual,2019 (69 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202011065861597,2007,Mazda 3 2.0 Skyactiv-G MHEV Sport Lux 5dr,,"£18,607",Manual,2019 (69 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202008062171711,5391,Mazda 3 2.0 Skyactiv-G MHEV GT Sport Tech 5dr,,"£18,650",Manual,2019 (69 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202003118298067,1500,Mazda 3 2.0 Skyactiv-X MHEV GT Sport Tech 5dr,,"£23,990",Manual,2019 (69 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202007030824843,5071,Mazda 3 2.0 Skyactiv-G MHEV GT Sport Tech 5dr,,"£21,990",Manual,2019 (69 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202011126051570,10000,Mazda 3 2.0 Skyactiv-G MHEV Sport Lux 5dr,,"£18,295",Manual,2019 (69 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202007060903574,3890,Mazda 3 2.0 Skyactiv-G MHEV SE-L 5dr,,"£16,995",Manual,2019 (69 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/201912024955902,5000,Mazda 3 2.0 Skyactiv-X MHEV GT Sport Tech 5dr,,"£21,495",Manual,2019 (69 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202011055811188,5560,Mazda 3 2.0 Skyactiv-G MHEV GT Sport 5dr,,"£19,495",Manual,2019 (69 reg)
,ULEZ,Saloon,2.0L,Petrol,https://www.autotrader.co.uk/car-details/201912024955904,9000,Mazda 3 2.0 Skyactiv-X MHEV GT Sport Tech 4dr,,"£20,495",Manual,2019 (69 reg)
,ULEZ,Saloon,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202007010719582,1581,Mazda 3 2.0 Skyactiv-X MHEV GT Sport 4dr,,"£20,500",Manual,2020 (69 reg)
,ULEZ,Saloon,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202007201462272,441,Mazda 3 2.0 Skyactiv-X MHEV Sport Lux 4dr Auto,,"£23,995",Automatic,2020 (20 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202012056792644,4641,Mazda 3 2.0 Skyactiv-G MHEV GT Sport Tech 5dr,,"£23,990",Manual,2020 (69 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202012016647734,13000,Mazda 3 2.0 Skyactiv-G MHEV GT Sport Tech 5dr,,"£19,495",Manual,2020 (69 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202012016647735,3000,Mazda 3 2.0 Skyactiv-G MHEV Sport Lux 5dr,,"£19,495",Manual,2020 (20 reg)
