BHP,ULEZ,body,engine,fuel,link,mileage,name,owners,price,transmission,year
108.0,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202008252924458,82850,Audi A3 1.6 TDI SE 5d 109 BHP Nav Prep - Bluetooth - F&R Sensors,,"£7,991",Manual,2015 (15 reg)
148.0,ULEZ,Hatchback,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202010064680887,38627,"Audi A3 2.0 TDI SE 5d 148 BHP, £20 YEAR ROAD TAX, SAT NAV, …",,"£10,980",Manual,2015 (65 reg)
108.0,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202010175102198,84812,Audi A3 1.6 TDI 110 Sport 5dr Satellite Navigation,,"£8,350",Manual,2015 (15 reg)
182.0,ULEZ,Hatchback,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202001306753427,74413,Audi A3 2.0 TDI Sport Sportback S Tronic quattro 5dr AIR …,,"£9,699",Automatic,2015 (15 reg)
108.0,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202012046781109,59152,Audi A3 1.6 TDI SE Sportback 5dr,,"£8,990",Manual,2015 (15 reg)
108.0,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202010175125584,78876,Audi A3 1.6 TDI Ultra 110 SE 5dr Bluetooth,,"£8,800",Manual,2015 (65 reg)
108.0,ULEZ,Saloon,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202011116007493,55591,Audi A3 1.6 TDI S LINE 4d 109 BHP,,"£12,799",Manual,2015 (15 reg)
108.0,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202012116991454,47606,Audi A3 1.6 TDI SE Sportback 5dr,,"£9,490",Manual,2015 (15 reg)
148.0,ULEZ,Hatchback,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202010165091119,35439,Audi A3 2.0 TDI S Line 5dr Satellite Navigation,,"£14,000",Manual,2015 (15 reg)
148.0,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010024507495,54831,Audi A3 1.4 TFSI 150 S Line 3dr Bluetooth,,"£11,750",Manual,2015 (65 reg)
