BHP,ULEZ,body,engine,fuel,mileage,owners,price,transmission,year,make,model,missing_BHP,sport,se,amg,tfsi,nav,tsi,tdi,premium,dci,m sport,sportback,edition,tech,crdi,tronic,cod,s line,bluetooth,leather,performance,2dr,3dr,4dr,5dr,dsg,speed,gti,gtd,gte,year_reg,age
123.0,ULEZ,Hatchback,1.4,Petrol,34414,2.0,9980,Manual,2017,Audi,A1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 reg,3
114.0,ULEZ,Hatchback,1.4,Petrol,16773,2.0,11500,Manual,2017,Audi,A1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67 reg,3
114.0,ULEZ,Hatchback,1.6,Diesel,76922,2.0,8599,Manual,2017,Audi,A1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 reg,3
114.0,ULEZ,Hatchback,1.4,Petrol,10950,2.0,12174,Manual,2017,Audi,A1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67 reg,3
114.0,ULEZ,Hatchback,1.6,Diesel,58278,2.0,9172,Manual,2017,Audi,A1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67 reg,3
93.0,ULEZ,Hatchback,1.0,Petrol,58000,2.0,10995,Manual,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 reg,3
114.0,ULEZ,Hatchback,1.6,Diesel,27200,2.0,11590,Manual,2017,Audi,A1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67 reg,3
123.0,ULEZ,Hatchback,1.4,Petrol,26727,2.0,12000,Manual,2017,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66 reg,3
94.0,ULEZ,Hatchback,1.0,Petrol,53242,2.0,10825,Automatic,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67 reg,3
114.0,ULEZ,Hatchback,1.6,Diesel,21488,2.0,14999,Manual,2017,Audi,A1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67 reg,3
122.5,ULEZ,Hatchback,1.4,Petrol,15000,2.0,12500,Manual,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17 reg,3
114.0,ULEZ,Hatchback,1.0,Petrol,16600,2.0,11990,Manual,2017,Audi,A1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
114.0,ULEZ,Hatchback,1.0,Petrol,24988,2.0,12500,Manual,2017,Audi,A1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67 reg,3
148.0,ULEZ,Hatchback,1.4,Petrol,15261,2.0,15950,Manual,2017,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
94.0,ULEZ,Hatchback,1.0,Petrol,5556,2.0,11600,Manual,2017,Audi,A1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67 reg,3
123.0,ULEZ,Hatchback,1.4,Petrol,11803,2.0,13000,Automatic,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17 reg,3
122.5,ULEZ,Hatchback,1.4,Petrol,22987,2.0,12500,Manual,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,17 reg,3
114.0,ULEZ,Hatchback,1.6,Diesel,9792,2.0,11980,Manual,2017,Audi,A1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 reg,3
93.1,ULEZ,Hatchback,1.0,Petrol,18780,2.0,12500,Manual,2017,Audi,A1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,17 reg,3
114.0,ULEZ,Hatchback,1.4,Petrol,5842,2.0,15999,Automatic,2017,Audi,A1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,67 reg,3
93.1,ULEZ,Hatchback,1.0,Petrol,24825,2.0,12000,Manual,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17 reg,3
