BHP,ULEZ,body,engine,fuel,link,mileage,name,owners,price,transmission,year
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010034567390,34414,"Audi A1 1.4 TFSI SPORT 3d 123 BHP, SPORTS SEATS, REAR PARKING ?€?",,"??9,980",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010225283889,16773,Audi A1 TFSI Sport 3dr 1.4,,"??11,500",Manual,2017 (67 reg)
114,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202009304401488,76922,Audi A1 1.6 TDI SPORT 3d 114 BHP PARKING SENSORS - CRUISE - MP3,,"??8,599",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012117005405,10950,Audi A1 1.4 TFSI Sport 5dr,,"??12,174",Manual,2017 (67 reg)
,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202011196268724,58278,Audi A1 1.6 TDI Sport 3dr,,"??9,172",Manual,2017 (67 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202012106969369,58000,"Audi 1.0 SPORTBACK TFSI SPORT 5d 93 BHP STUNNING A1, PERFECT ?€?",,"??10,995",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202011095934118,27200,Audi A1 1.6 TDI Sport Sportback (s/s) 5dr,,"??11,590",Manual,2017 (67 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011246453356,26727,Audi A1 1.4 TFSI S LINE 3d 123 BHP AIRCON - ALLOYS - PART ?€?,,"??12,000",Manual,2017 (66 reg)
94,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202012227327483,53242,Audi A1 1L Sport TFSI 3dr,,"??10,825",Automatic,2017 (67 reg)
,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202012117007113,21488,Audi A1 1.6 TDI Black Edition 5dr Special Edition - Full ?€?,,"??14,999",Manual,2017 (67 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202009264226886,15000,Audi A1 Sport 1.4 TFSI 125 PS 6-speed 3dr,,"??12,500",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202011116000172,16600,Audi A1 1.0 TFSI Sport Sportback (s/s) 5dr,,"??11,990",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202008202734436,24988,Audi A1 1.0 TFSI Sport Nav 5dr Satellite Navigation,,"??12,500",Manual,2017 (67 reg)
148,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010155040456,15261,Audi A1 1.4L Black Edition CoD TFSI 5dr,,"??15,950",Manual,2017 (17 reg)
94,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202012287447871,5556,Audi A1 1L SE TFSI 3dr,,"??11,600",Manual,2017 (67 reg)
123,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012106976765,11803,Audi A1 1.4 TFSI SPORT 3d 123 BHP AIR CON - ALLOYS - BLUETOOTH ?€?,,"??13,000",Automatic,2017 (17 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012127021029,22987,Audi A1 Sportback Sport 1.4 TFSI 125 PS 6-speed 5dr,,"??12,500",Manual,2017 (17 reg)
114,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202009193954936,9792,"Audi A1 1.6 SPORTBACK TDI SPORT 5d 114 BHP, 16"" ALLOYS, MEDIA ?€?",,"??11,980",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202012127021030,18780,Audi A1 Sportback SE 1.0 TFSI 95 PS 5-speed 5dr,,"??12,500",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202011176217487,5842,Audi A1 1.4 TFSI S Line 5dr S Tronic,,"??15,999",Automatic,2017 (67 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202011146108055,24825,Audi A1 Sport 1.0 TFSI 95 PS 5-speed 3dr,,"??12,000",Manual,2017 (17 reg)
114,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202010205231501,43440,Audi A1 1.6L S line TDI 5dr,,"??11,825",Manual,2017 (66 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012106950636,33099,Audi A1 1.4 TFSI Sport 5dr Bluetooth,,"??12,400",Manual,2017 (67 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202012106960876,18000,Audi A1 1.0 TFSI Sport 5dr Bluetooth,,"??11,850",Manual,2017 (17 reg)
